,id,name,form,gen,type1,type2,stats,hp,attack,defense,sp_attack,sp_defense,speed,species,height_m,weight_kg,ability_0,ability_1,ability_hidden,ev_yield,catch_rate,growth_rate,egg_groups,male_percent,female_percent,egg_cycles,egg_steps,is_legendary,evo_1,evo_1_details,evo_2,evo_3,evo_2_details,evo_stage,evo_is_final
568,554,Darumaka,,5,fire,,315,70,90,45,15,45,50,Zen Charm Pokémon,0.6,37.5,Hustle,,Inner Focus,1 Attack,120,Medium Slow,Field,50.0,50.0,20.0,5140.0,0,Darumaka,Level 35,Darmanitan,,,1.0,0
569,555,Darmanitan,Standard Mode,5,fire,,480,105,140,55,30,55,95,Blazing Pokémon,1.3,92.9,Sheer Force,,Zen Mode,2 Attack,60,Medium Slow,Field,50.0,50.0,20.0,5140.0,0,Darumaka,Level 35,Darmanitan,,,2.0,1
570,555,Darmanitan,Zen Mode,5,fire,psychic,540,105,30,105,140,105,55,Blazing Pokémon,1.3,92.9,Sheer Force,,Zen Mode,2 Attack,60,Medium Slow,Field,50.0,50.0,20.0,5140.0,0,Darmanitan,,,,,1.0,1
571,556,Maractus,,5,grass,,461,75,86,67,106,67,60,Cactus Pokémon,1.0,28.0,Water Absorb,Water Absorb,Storm Drain,2 Sp. Atk,255,Medium Fast,Grass,50.0,50.0,20.0,5140.0,0,Maractus,,,,,1.0,1
572,557,Dwebble,,5,bug,rock,325,50,65,85,35,35,55,Rock Inn Pokémon,0.3,14.5,Sturdy,Sturdy,Weak Armor,1 Defense,190,Medium Fast,"Bug,Mineral",50.0,50.0,20.0,5140.0,0,Dwebble,Level 34,Crustle,,,1.0,0
573,558,Crustle,,5,bug,rock,485,70,105,125,65,75,45,Stone Home Pokémon,1.4,200.0,Sturdy,Sturdy,Weak Armor,2 Defense,75,Medium Fast,"Bug,Mineral",50.0,50.0,20.0,5140.0,0,Dwebble,Level 34,Crustle,,,2.0,1
574,559,Scraggy,,5,dark,fighting,348,50,75,70,35,70,48,Shedding Pokémon,0.6,11.8,Shed Skin,Shed Skin,Intimidate,1 Attack,180,Medium Fast,"Dragon,Field",50.0,50.0,15.0,3855.0,0,Scraggy,Level 39,Scrafty,,,1.0,0
575,560,Scrafty,,5,dark,fighting,488,65,90,115,45,115,58,Hoodlum Pokémon,1.1,30.0,Shed Skin,Shed Skin,Intimidate,"1 Defense, 1 Sp. Def",90,Medium Fast,"Dragon,Field",50.0,50.0,15.0,3855.0,0,Scraggy,Level 39,Scrafty,,,2.0,1
576,561,Sigilyph,,5,psychic,flying,490,72,58,80,103,80,97,Avianoid Pokémon,1.4,14.0,Wonder Skin,Wonder Skin,Tinted Lens,2 Sp. Atk,45,Medium Fast,Flying,50.0,50.0,20.0,5140.0,0,Sigilyph,,,,,1.0,1
577,562,Yamask,,5,ghost,,303,38,30,85,55,65,30,Spirit Pokémon,0.5,1.5,Mummy,,,1 Defense,190,Medium Fast,"Amorphous,Mineral",50.0,50.0,25.0,6425.0,0,Yamask,Level 34,Cofagrigus,,,1.0,0
578,563,Cofagrigus,,5,ghost,,483,58,50,145,95,105,30,Coffin Pokémon,1.7,76.5,Mummy,,,2 Defense,90,Medium Fast,"Amorphous,Mineral",50.0,50.0,25.0,6425.0,0,Yamask,Level 34,Cofagrigus,,,2.0,1
579,564,Tirtouga,,5,water,rock,355,54,78,103,53,45,22,Prototurtle Pokémon,0.7,16.5,Solid Rock,Solid Rock,Swift Swim,1 Defense,45,Medium Fast,"Water 1,Water 3",87.5,12.5,30.0,7710.0,0,Tirtouga,Level 37,Carracosta,,,1.0,0
580,565,Carracosta,,5,water,rock,495,74,108,133,83,65,32,Prototurtle Pokémon,1.2,81.0,Solid Rock,Solid Rock,Swift Swim,2 Defense,45,Medium Fast,"Water 1,Water 3",87.5,12.5,30.0,7710.0,0,Tirtouga,Level 37,Carracosta,,,2.0,1
581,566,Archen,,5,rock,flying,401,55,112,45,74,45,70,First Bird Pokémon,0.5,9.5,Defeatist,,,1 Attack,45,Medium Fast,"Flying,Water 3",87.5,12.5,30.0,7710.0,0,Archen,Level 37,Archeops,,,1.0,0
582,567,Archeops,,5,rock,flying,567,75,140,65,112,65,110,First Bird Pokémon,1.4,32.0,Defeatist,,,2 Attack,45,Medium Fast,"Flying,Water 3",87.5,12.5,30.0,7710.0,0,Archen,Level 37,Archeops,,,2.0,1
583,568,Trubbish,,5,poison,,329,50,50,62,40,62,65,Trash Bag Pokémon,0.6,31.0,Stench,Stench,Aftermath,1 Speed,190,Medium Fast,Mineral,50.0,50.0,20.0,5140.0,0,Trubbish,Level 36,Garbodor,,,1.0,0
584,569,Garbodor,,5,poison,,474,80,95,82,60,82,75,Trash Heap Pokémon,1.9,107.3,Stench,Stench,Aftermath,2 Attack,60,Medium Fast,Mineral,50.0,50.0,20.0,5140.0,0,Trubbish,Level 36,Garbodor,,,2.0,1
585,570,Zorua,,5,dark,,330,40,65,40,80,40,65,Tricky Fox Pokémon,0.7,12.5,Illusion,,,1 Sp. Atk,75,Medium Slow,Field,87.5,12.5,25.0,6425.0,0,Zorua,Level 30,Zoroark,,,1.0,0
586,571,Zoroark,,5,dark,,510,60,105,60,120,60,105,Illusion Fox Pokémon,1.6,81.1,Illusion,,,2 Sp. Atk,45,Medium Slow,Field,87.5,12.5,20.0,5140.0,0,Zorua,Level 30,Zoroark,,,2.0,1
587,572,Minccino,,5,normal,,300,55,50,40,40,40,75,Chinchilla Pokémon,0.4,5.8,Cute Charm,Cute Charm,Skill Link,1 Speed,255,Fast,Field,25.0,75.0,15.0,3855.0,0,Minccino,use Shiny Stone,Cinccino,,,1.0,0
588,573,Cinccino,,5,normal,,470,75,95,60,65,60,115,Scarf Pokémon,0.5,7.5,Cute Charm,Cute Charm,Skill Link,2 Speed,60,Fast,Field,25.0,75.0,15.0,3855.0,0,Minccino,use Shiny Stone,Cinccino,,,2.0,1
589,574,Gothita,,5,psychic,,290,45,30,50,55,65,45,Fixation Pokémon,0.4,5.8,Frisk,Frisk,Shadow Tag,1 Sp. Def,200,Medium Slow,Human-Like,25.0,75.0,20.0,5140.0,0,Gothita,Level 32,Gothorita,Gothitelle,Level 41,1.0,0
590,575,Gothorita,,5,psychic,,390,60,45,70,75,85,55,Manipulate Pokémon,0.7,18.0,Frisk,Frisk,Shadow Tag,2 Sp. Def,100,Medium Slow,Human-Like,25.0,75.0,20.0,5140.0,0,Gothita,Level 32,Gothorita,Gothitelle,Level 41,2.0,0
591,576,Gothitelle,,5,psychic,,490,70,55,95,95,110,65,Astral Body Pokémon,1.5,44.0,Frisk,Frisk,Shadow Tag,3 Sp. Def,50,Medium Slow,Human-Like,25.0,75.0,20.0,5140.0,0,Gothita,Level 32,Gothorita,Gothitelle,Level 41,3.0,1
592,577,Solosis,,5,psychic,,290,45,30,40,105,50,20,Cell Pokémon,0.3,1.0,Overcoat,Overcoat,Regenerator,1 Sp. Atk,200,Medium Slow,Amorphous,50.0,50.0,20.0,5140.0,0,Solosis,Level 32,Duosion,Reuniclus,Level 41,1.0,0
593,578,Duosion,,5,psychic,,370,65,40,50,125,60,30,Mitosis Pokémon,0.6,8.0,Overcoat,Overcoat,Regenerator,2 Sp. Atk,100,Medium Slow,Amorphous,50.0,50.0,20.0,5140.0,0,Solosis,Level 32,Duosion,Reuniclus,Level 41,2.0,0
594,579,Reuniclus,,5,psychic,,490,110,65,75,125,85,30,Multiplying Pokémon,1.0,20.1,Overcoat,Overcoat,Regenerator,3 Sp. Atk,50,Medium Slow,Amorphous,50.0,50.0,20.0,5140.0,0,Solosis,Level 32,Duosion,Reuniclus,Level 41,3.0,1
595,580,Ducklett,,5,water,flying,305,62,44,50,44,50,55,Water Bird Pokémon,0.5,5.5,Keen Eye,Keen Eye,Hydration,1 HP,190,Medium Fast,"Flying,Water 1",50.0,50.0,20.0,5140.0,0,Ducklett,Level 35,Swanna,,,1.0,0
596,581,Swanna,,5,water,flying,473,75,87,63,87,63,98,White Bird Pokémon,1.3,24.2,Keen Eye,Keen Eye,Hydration,2 Speed,45,Medium Fast,"Flying,Water 1",50.0,50.0,20.0,5140.0,0,Ducklett,Level 35,Swanna,,,2.0,1
597,582,Vanillite,,5,ice,,305,36,50,50,65,60,44,Fresh Snow Pokémon,0.4,5.7,Ice Body,Ice Body,Weak Armor,1 Sp. Atk,255,Slow,Mineral,50.0,50.0,20.0,5140.0,0,Vanillite,Level 35,Vanillish,Vanilluxe,Level 47,1.0,0
598,583,Vanillish,,5,ice,,395,51,65,65,80,75,59,Icy Snow Pokémon,1.1,41.0,Ice Body,Ice Body,Weak Armor,2 Sp. Atk,120,Slow,Mineral,50.0,50.0,20.0,5140.0,0,Vanillite,Level 35,Vanillish,Vanilluxe,Level 47,2.0,0
599,584,Vanilluxe,,5,ice,,535,71,95,85,110,95,79,Snowstorm Pokémon,1.3,57.5,Ice Body,Ice Body,Weak Armor,3 Sp. Atk,45,Slow,Mineral,50.0,50.0,20.0,5140.0,0,Vanillite,Level 35,Vanillish,Vanilluxe,Level 47,3.0,1
600,585,Deerling,,5,normal,grass,335,60,60,50,40,50,75,Season Pokémon,0.6,19.5,Chlorophyll,Chlorophyll,Serene Grace,1 Speed,190,Medium Fast,Field,50.0,50.0,20.0,5140.0,0,Deerling,Level 34,Sawsbuck,,,1.0,0
601,586,Sawsbuck,,5,normal,grass,475,80,100,70,60,70,95,Season Pokémon,1.9,92.5,Chlorophyll,Chlorophyll,Serene Grace,2 Attack,75,Medium Fast,Field,50.0,50.0,20.0,5140.0,0,Deerling,Level 34,Sawsbuck,,,2.0,1
602,587,Emolga,,5,electric,flying,428,55,75,60,75,60,103,Sky Squirrel Pokémon,0.4,5.0,Static,,Motor Drive,2 Speed,200,Medium Fast,Field,50.0,50.0,20.0,5140.0,0,Emolga,,,,,1.0,1
603,588,Karrablast,,5,bug,,315,50,75,45,40,45,60,Clamping Pokémon,0.5,5.9,Swarm,Swarm,No Guard,1 Attack,200,Medium Fast,Bug,50.0,50.0,15.0,3855.0,0,Karrablast,Trade with Shelmet,Escavalier,,,1.0,0
604,589,Escavalier,,5,bug,steel,495,70,135,105,60,105,20,Cavalry Pokémon,1.0,33.0,Swarm,Swarm,Overcoat,2 Attack,75,Medium Fast,Bug,50.0,50.0,15.0,3855.0,0,Karrablast,Trade with Shelmet,Escavalier,,,2.0,1
605,590,Foongus,,5,grass,poison,294,69,55,45,55,55,15,Mushroom Pokémon,0.2,1.0,Effect Spore,,Regenerator,1 HP,190,Medium Fast,Grass,50.0,50.0,20.0,5140.0,0,Foongus,Level 39,Amoonguss,,,1.0,0
606,591,Amoonguss,,5,grass,poison,464,114,85,70,85,80,30,Mushroom Pokémon,0.6,10.5,Effect Spore,,Regenerator,2 HP,75,Medium Fast,Grass,50.0,50.0,20.0,5140.0,0,Foongus,Level 39,Amoonguss,,,2.0,1
607,592,Frillish,,5,water,ghost,335,55,40,50,65,85,40,Floating Pokémon,1.2,33.0,Water Absorb,Water Absorb,Damp,1 Sp. Def,190,Medium Fast,Amorphous,50.0,50.0,20.0,5140.0,0,Frillish,Level 40,Jellicent,,,1.0,0
608,593,Jellicent,,5,water,ghost,480,100,60,70,85,105,60,Floating Pokémon,2.2,135.0,Water Absorb,Water Absorb,Damp,2 Sp. Def,60,Medium Fast,Amorphous,50.0,50.0,20.0,5140.0,0,Frillish,Level 40,Jellicent,,,2.0,1
609,594,Alomomola,,5,water,,470,165,75,80,40,45,65,Caring Pokémon,1.2,31.6,Healer,Healer,Regenerator,2 HP,75,Fast,"Water 1,Water 2",50.0,50.0,40.0,10280.0,0,Alomomola,,,,,1.0,1
610,595,Joltik,,5,bug,electric,319,50,47,50,57,50,65,Attaching Pokémon,0.1,0.6,Compound Eyes,Compound Eyes,Swarm,1 Speed,190,Medium Fast,Bug,50.0,50.0,20.0,5140.0,0,Joltik,Level 36,Galvantula,,,1.0,0
611,596,Galvantula,,5,bug,electric,472,70,77,60,97,60,108,EleSpider Pokémon,0.8,14.3,Compound Eyes,Compound Eyes,Swarm,2 Speed,75,Medium Fast,Bug,50.0,50.0,20.0,5140.0,0,Joltik,Level 36,Galvantula,,,2.0,1
612,597,Ferroseed,,5,grass,steel,305,44,50,91,24,86,10,Thorn Seed Pokémon,0.6,18.8,Iron Barbs,,,1 Defense,255,Medium Fast,"Grass,Mineral",50.0,50.0,20.0,5140.0,0,Ferroseed,Level 40,Ferrothorn,,,1.0,0
613,598,Ferrothorn,,5,grass,steel,489,74,94,131,54,116,20,Thorn Pod Pokémon,1.0,110.0,Iron Barbs,,Anticipation,2 Defense,90,Medium Fast,"Grass,Mineral",50.0,50.0,20.0,5140.0,0,Ferroseed,Level 40,Ferrothorn,,,2.0,1
614,599,Klink,,5,steel,,300,40,55,70,45,60,30,Gear Pokémon,0.3,21.0,Plus,Plus,Clear Body,1 Defense,130,Medium Slow,Mineral,,,20.0,5140.0,0,Klink,Level 38,Klang,Klinklang,Level 49,1.0,0
615,600,Klang,,5,steel,,440,60,80,95,70,85,50,Gear Pokémon,0.6,51.0,Plus,Plus,Clear Body,2 Defense,60,Medium Slow,Mineral,,,20.0,5140.0,0,Klink,Level 38,Klang,Klinklang,Level 49,2.0,0
616,601,Klinklang,,5,steel,,520,60,100,115,70,85,90,Gear Pokémon,0.6,81.0,Plus,Plus,Clear Body,3 Defense,30,Medium Slow,Mineral,,,20.0,5140.0,0,Klink,Level 38,Klang,Klinklang,Level 49,3.0,1
617,602,Tynamo,,5,electric,,275,35,55,40,45,40,60,EleFish Pokémon,0.2,0.3,Levitate,,,1 Speed,190,Slow,Amorphous,50.0,50.0,20.0,5140.0,0,Tynamo,Level 39,Eelektrik,Eelektross,use Thunder Stone,1.0,0
618,603,Eelektrik,,5,electric,,405,65,85,70,75,70,40,EleFish Pokémon,1.2,22.0,Levitate,,,2 Attack,60,Slow,Amorphous,50.0,50.0,20.0,5140.0,0,Tynamo,Level 39,Eelektrik,Eelektross,use Thunder Stone,2.0,0
619,604,Eelektross,,5,electric,,515,85,115,80,105,80,50,EleFish Pokémon,2.1,80.5,Levitate,,,3 Attack,30,Slow,Amorphous,50.0,50.0,20.0,5140.0,0,Tynamo,Level 39,Eelektrik,Eelektross,use Thunder Stone,3.0,1
620,605,Elgyem,,5,psychic,,335,55,55,55,85,55,30,Cerebral Pokémon,0.5,9.0,Telepathy,Telepathy,Analytic,1 Sp. Atk,255,Medium Fast,Human-Like,50.0,50.0,20.0,5140.0,0,Elgyem,Level 42,Beheeyem,,,1.0,0
621,606,Beheeyem,,5,psychic,,485,75,75,75,125,95,40,Cerebral Pokémon,1.0,34.5,Telepathy,Telepathy,Analytic,2 Sp. Atk,90,Medium Fast,Human-Like,50.0,50.0,20.0,5140.0,0,Elgyem,Level 42,Beheeyem,,,2.0,1
622,607,Litwick,,5,ghost,fire,275,50,30,55,65,55,20,Candle Pokémon,0.3,3.1,Flash Fire,Flash Fire,Infiltrator,1 Sp. Atk,190,Medium Slow,Amorphous,50.0,50.0,20.0,5140.0,0,Litwick,Level 41,Lampent,Chandelure,use Dusk Stone,1.0,0
623,608,Lampent,,5,ghost,fire,370,60,40,60,95,60,55,Lamp Pokémon,0.6,13.0,Flash Fire,Flash Fire,Infiltrator,2 Sp. Atk,90,Medium Slow,Amorphous,50.0,50.0,20.0,5140.0,0,Litwick,Level 41,Lampent,Chandelure,use Dusk Stone,2.0,0
624,609,Chandelure,,5,ghost,fire,520,60,55,90,145,90,80,Luring Pokémon,1.0,34.3,Flash Fire,Flash Fire,Infiltrator,3 Sp. Atk,45,Medium Slow,Amorphous,50.0,50.0,20.0,5140.0,0,Litwick,Level 41,Lampent,Chandelure,use Dusk Stone,3.0,1
625,610,Axew,,5,dragon,,320,46,87,60,30,40,57,Tusk Pokémon,0.6,18.0,Rivalry,Rivalry,Unnerve,1 Attack,75,Slow,"Dragon,Monster",50.0,50.0,40.0,10280.0,0,Axew,Level 38,Fraxure,Haxorus,Level 48,1.0,0
626,611,Fraxure,,5,dragon,,410,66,117,70,40,50,67,Axe Jaw Pokémon,1.0,36.0,Rivalry,Rivalry,Unnerve,2 Attack,60,Slow,"Dragon,Monster",50.0,50.0,40.0,10280.0,0,Axew,Level 38,Fraxure,Haxorus,Level 48,2.0,0
627,612,Haxorus,,5,dragon,,540,76,147,90,60,70,97,Axe Jaw Pokémon,1.8,105.5,Rivalry,Rivalry,Unnerve,3 Attack,45,Slow,"Dragon,Monster",50.0,50.0,40.0,10280.0,0,Axew,Level 38,Fraxure,Haxorus,Level 48,3.0,1
628,613,Cubchoo,,5,ice,,305,55,70,40,60,40,40,Chill Pokémon,0.5,8.5,Snow Cloak,Snow Cloak,Rattled,1 Attack,120,Medium Fast,Field,50.0,50.0,20.0,5140.0,0,Cubchoo,Level 37,Beartic,,,1.0,0
629,614,Beartic,,5,ice,,505,95,130,80,70,80,50,Freezing Pokémon,2.6,260.0,Snow Cloak,Snow Cloak,Swift Swim,2 Attack,60,Medium Fast,Field,50.0,50.0,20.0,5140.0,0,Cubchoo,Level 37,Beartic,,,2.0,1
630,615,Cryogonal,,5,ice,,515,80,50,50,95,135,105,Crystallizing Pokémon,1.1,148.0,Levitate,,,2 Sp. Def,25,Medium Fast,Mineral,,,25.0,6425.0,0,Cryogonal,,,,,1.0,1
631,616,Shelmet,,5,bug,,305,50,40,85,40,65,25,Snail Pokémon,0.4,7.7,Hydration,Hydration,Overcoat,1 Defense,200,Medium Fast,Bug,50.0,50.0,15.0,3855.0,0,Shelmet,Trade with Karrablast,Accelgor,,,1.0,0
632,617,Accelgor,,5,bug,,495,80,70,40,100,60,145,Shell Out Pokémon,0.8,25.3,Hydration,Hydration,Unburden,2 Speed,75,Medium Fast,Bug,50.0,50.0,15.0,3855.0,0,Shelmet,Trade with Karrablast,Accelgor,,,2.0,1
633,618,Stunfisk,,5,ground,electric,471,109,66,84,81,99,32,Trap Pokémon,0.7,11.0,Static,Static,Sand Veil,2 HP,75,Medium Fast,"Amorphous,Water 1",50.0,50.0,20.0,5140.0,0,Stunfisk,,,,,1.0,1
634,619,Mienfoo,,5,fighting,,350,45,85,50,55,50,65,Martial Arts Pokémon,0.9,20.0,Inner Focus,Inner Focus,Reckless,1 Attack,180,Medium Slow,"Field,Human-Like",50.0,50.0,25.0,6425.0,0,Mienfoo,Level 50,Mienshao,,,1.0,0
635,620,Mienshao,,5,fighting,,510,65,125,60,95,60,105,Martial Arts Pokémon,1.4,35.5,Inner Focus,Inner Focus,Reckless,2 Attack,45,Medium Slow,"Field,Human-Like",50.0,50.0,25.0,6425.0,0,Mienfoo,Level 50,Mienshao,,,2.0,1
636,621,Druddigon,,5,dragon,,485,77,120,90,60,90,48,Cave Pokémon,1.6,139.0,Rough Skin,Rough Skin,Mold Breaker,2 Attack,45,Medium Fast,"Dragon,Monster",50.0,50.0,30.0,7710.0,0,Druddigon,,,,,1.0,1
637,622,Golett,,5,ground,ghost,303,59,74,50,35,50,35,Automaton Pokémon,1.0,92.0,Iron Fist,Iron Fist,No Guard,1 Attack,190,Medium Fast,Mineral,,,25.0,6425.0,0,Golett,Level 43,Golurk,,,1.0,0
638,623,Golurk,,5,ground,ghost,483,89,124,80,55,80,55,Automaton Pokémon,2.8,330.0,Iron Fist,Iron Fist,No Guard,2 Attack,90,Medium Fast,Mineral,,,25.0,6425.0,0,Golett,Level 43,Golurk,,,2.0,1
639,624,Pawniard,,5,dark,steel,340,45,85,70,40,40,60,Sharp Blade Pokémon,0.5,10.2,Defiant,Defiant,Pressure,1 Attack,120,Medium Fast,Human-Like,50.0,50.0,20.0,5140.0,0,Pawniard,Level 52,Bisharp,Kingambit,defeat 3 Bisharp that are holding Leader's Crest,1.0,0
640,625,Bisharp,,5,dark,steel,490,65,125,100,60,70,70,Sword Blade Pokémon,1.6,70.0,Defiant,Defiant,Pressure,2 Attack,45,Medium Fast,Human-Like,50.0,50.0,20.0,5140.0,0,Pawniard,Level 52,Bisharp,Kingambit,defeat 3 Bisharp that are holding Leader's Crest,2.0,0
641,626,Bouffalant,,5,normal,,490,95,110,95,40,95,55,Bash Buffalo Pokémon,1.6,94.6,Reckless,Reckless,Soundproof,2 Attack,45,Medium Fast,Field,50.0,50.0,20.0,5140.0,0,Bouffalant,,,,,1.0,1
642,627,Rufflet,,5,normal,flying,350,70,83,50,37,50,60,Eaglet Pokémon,0.5,10.5,Keen Eye,Keen Eye,Hustle,1 Attack,190,Slow,Flying,100.0,0.0,20.0,5140.0,0,Rufflet,"Level 54, in Legends: Arceus",Braviary,,,1.0,0
643,628,Braviary,,5,normal,flying,510,100,123,75,57,75,80,Valiant Pokémon,1.5,41.0,Keen Eye,Keen Eye,Defiant,2 Attack,60,Slow,Flying,100.0,0.0,20.0,5140.0,0,Rufflet,Level 54,Braviary,,,2.0,1
644,629,Vullaby,,5,dark,flying,370,70,55,75,45,65,60,Diapered Pokémon,0.5,9.0,Big Pecks,Big Pecks,Weak Armor,1 Defense,190,Slow,Flying,0.0,100.0,20.0,5140.0,0,Vullaby,Level 54,Mandibuzz,,,1.0,0
645,630,Mandibuzz,,5,dark,flying,510,110,65,105,55,95,80,Bone Vulture Pokémon,1.2,39.5,Big Pecks,Big Pecks,Weak Armor,2 Sp. Atk,60,Slow,Flying,0.0,100.0,20.0,5140.0,0,Vullaby,Level 54,Mandibuzz,,,2.0,1
646,631,Heatmor,,5,fire,,484,85,97,66,105,66,65,Anteater Pokémon,1.4,58.0,Gluttony,Gluttony,White Smoke,2 Sp. Atk,90,Medium Fast,Field,50.0,50.0,20.0,5140.0,0,Heatmor,,,,,1.0,1
647,632,Durant,,5,bug,steel,484,58,109,112,48,48,109,Iron Ant Pokémon,0.3,33.0,Swarm,Swarm,Truant,2 Defense,90,Medium Fast,Bug,50.0,50.0,20.0,5140.0,0,Durant,,,,,1.0,1
648,633,Deino,,5,dark,dragon,300,52,65,50,45,50,38,Irate Pokémon,0.8,17.3,Hustle,,,1 Attack,45,Slow,Dragon,50.0,50.0,40.0,10280.0,0,Deino,Level 50,Zweilous,Hydreigon,Level 64,1.0,0
649,634,Zweilous,,5,dark,dragon,420,72,85,70,65,70,58,Hostile Pokémon,1.4,50.0,Hustle,,,2 Attack,45,Slow,Dragon,50.0,50.0,40.0,10280.0,0,Deino,Level 50,Zweilous,Hydreigon,Level 64,2.0,0
650,635,Hydreigon,,5,dark,dragon,600,92,105,90,125,90,98,Brutal Pokémon,1.8,160.0,Levitate,,,3 Sp. Atk,45,Slow,Dragon,50.0,50.0,40.0,10280.0,0,Deino,Level 50,Zweilous,Hydreigon,Level 64,3.0,1
651,636,Larvesta,,5,bug,fire,360,55,85,55,50,55,60,Torch Pokémon,1.1,28.8,Flame Body,,Swarm,1 Attack,45,Slow,Bug,50.0,50.0,40.0,10280.0,0,Larvesta,Level 59,Volcarona,,,1.0,0
652,637,Volcarona,,5,bug,fire,550,85,60,65,135,105,100,Sun Pokémon,1.6,46.0,Flame Body,,Swarm,3 Sp. Atk,15,Slow,Bug,50.0,50.0,40.0,10280.0,0,Larvesta,Level 59,Volcarona,,,2.0,1
653,638,Cobalion,,5,steel,fighting,580,91,90,129,90,72,108,Iron Will Pokémon,2.1,250.0,Justified,,,3 Defense,3,Slow,Undiscovered,,,80.0,20560.0,1,Cobalion,,,,,1.0,1
654,639,Terrakion,,5,rock,fighting,580,91,129,90,72,90,108,Cavern Pokémon,1.9,260.0,Justified,,,3 Attack,3,Slow,Undiscovered,,,80.0,20560.0,1,Terrakion,,,,,1.0,1
655,640,Virizion,,5,grass,fighting,580,91,90,72,90,129,108,Grassland Pokémon,2.0,200.0,Justified,,,3 Sp. Def,3,Slow,Undiscovered,,,80.0,20560.0,1,Virizion,,,,,1.0,1
656,641,Tornadus,Incarnate Forme,5,flying,,580,79,115,70,125,80,111,Cyclone Pokémon,1.5,63.0,Prankster,,Defiant,3 Attack,3,Slow,Undiscovered,100.0,0.0,120.0,30840.0,1,Tornadus,,,,,1.0,1
657,641,Tornadus,Therian Forme,5,flying,,580,79,100,80,110,90,121,Cyclone Pokémon,1.5,63.0,Prankster,,Defiant,3 Attack,3,Slow,Undiscovered,100.0,0.0,120.0,30840.0,1,Tornadus,,,,,1.0,1
658,642,Thundurus,Incarnate Forme,5,electric,flying,580,79,115,70,125,80,111,Bolt Strike Pokémon,1.5,61.0,Prankster,,Defiant,3 Attack,3,Slow,Undiscovered,100.0,0.0,120.0,30840.0,1,Thundurus,,,,,1.0,1
659,642,Thundurus,Therian Forme,5,electric,flying,580,79,105,70,145,80,101,Bolt Strike Pokémon,1.5,61.0,Prankster,,Defiant,3 Attack,3,Slow,Undiscovered,100.0,0.0,120.0,30840.0,1,Thundurus,,,,,1.0,1
660,643,Reshiram,,5,dragon,fire,680,100,120,100,150,120,90,Vast White Pokémon,3.2,330.0,Turboblaze,,,3 Sp. Atk,3,Slow,Undiscovered,,,120.0,30840.0,1,Reshiram,,,,,1.0,1
661,644,Zekrom,,5,dragon,electric,680,100,150,120,120,100,90,Deep Black Pokémon,2.9,345.0,Teravolt,,,3 Attack,3,Slow,Undiscovered,,,120.0,30840.0,1,Zekrom,,,,,1.0,1
662,645,Landorus,Incarnate Forme,5,ground,flying,600,89,125,90,115,80,101,Abundance Pokémon,1.5,68.0,Sand Force,,Sheer Force,3 Sp. Atk,3,Slow,Undiscovered,100.0,0.0,120.0,30840.0,1,Landorus,,,,,1.0,1
663,645,Landorus,Therian Forme,5,ground,flying,600,89,145,90,105,80,91,Abundance Pokémon,1.5,68.0,Sand Force,,Sheer Force,3 Sp. Atk,3,Slow,Undiscovered,100.0,0.0,120.0,30840.0,1,Landorus,,,,,1.0,1
664,646,Kyurem,,5,dragon,ice,660,125,130,90,130,90,95,Boundary Pokémon,3.0,325.0,Pressure,,,"1 HP, 1 Attack, 1 Sp. Atk",3,Slow,Undiscovered,,,120.0,30840.0,1,Kyurem,,,,,1.0,1
665,646,Kyurem,White Kyurem,5,dragon,ice,700,125,120,90,170,100,95,Boundary Pokémon,3.0,325.0,Pressure,,,"1 HP, 1 Attack, 1 Sp. Atk",3,Slow,Undiscovered,,,120.0,30840.0,1,Kyurem,,,,,1.0,1
666,646,Kyurem,Black Kyurem,5,dragon,ice,700,125,170,100,120,90,95,Boundary Pokémon,3.0,325.0,Pressure,,,"1 HP, 1 Attack, 1 Sp. Atk",3,Slow,Undiscovered,,,120.0,30840.0,1,Kyurem,,,,,1.0,1
667,647,Keldeo,Ordinary Form,5,water,fighting,580,91,72,90,129,90,108,Colt Pokémon,1.4,48.5,Justified,,,3 Sp. Atk,3,Slow,Undiscovered,,,80.0,20560.0,1,Keldeo,,,,,1.0,1
668,648,Meloetta,Aria Forme,5,normal,psychic,600,100,77,77,128,128,90,Melody Pokémon,0.6,6.5,Serene Grace,,,"1 Sp. Atk, 1 Sp. Def, 1 Speed",3,Slow,Undiscovered,,,120.0,30840.0,1,Meloetta,,,,,1.0,1
669,648,Meloetta,Pirouette Forme,5,normal,fighting,600,100,128,90,77,77,128,Melody Pokémon,0.6,6.5,Serene Grace,,,"1 Sp. Atk, 1 Sp. Def, 1 Speed",3,Slow,Undiscovered,,,120.0,30840.0,1,Meloetta,,,,,1.0,1
670,649,Genesect,,5,bug,steel,600,71,120,95,120,95,99,Paleozoic Pokémon,1.5,82.5,Download,,,"1 Attack, 1 Sp. Atk, 1 Speed",3,Slow,Undiscovered,,,120.0,30840.0,1,Genesect,,,,,1.0,1
671,3,Venusaur,Mega Venusaur,6,grass,poison,625,80,100,123,122,120,80,Seed Pokémon,2.0,100.0,Overgrow,,Chlorophyll,"2 Sp. Atk, 1 Sp. Def",45,Medium Slow,"Grass,Monster",87.5,12.5,20.0,5140.0,0,Venusaur,,,,,1.0,1
